,Название,ИНН,Адрес,ОКВЭД,Деятельность
253,"ООО ""ГРУППА ЭПМ""",7707391440,Г.МОСКВА,64.20,Деятельность холдинговых компаний
254,"ООО ""АКЦЕНТР СЕВЕРО-ЗАПАД""",7707370545,Г.Санкт-Петербург,72.19,Научные исследования и разработки в области естественных и технических наук прочие
255,"ООО ""АЙКАЕГАНСКОЕ""",7707355353,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
256,"ООО ""ВАГРАН""",7707113058,СВЕРДЛОВСКАЯ ОБЛАСТЬ,46.11,"Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами"
257,"ООО "" ГАЗЭКС-МЕНЕДЖМЕНТ """,6626013286,Московская область,70.22,Консультирование по вопросам коммерческой деятельности и управления
258,"ООО ""ЗМР""",6623012911,СВЕРДЛОВСКАЯ ОБЛАСТЬ,23.52.1,"Производство негашеной, гашеной и гидравлической извести"
259,"АО ""БОГДАНОВИЧСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""",6605002100,Свердловская область,10.9,Производство готовых кормов для животных
260,"АО ""БЕРЕЗОВСКИЙ ХЛЕБОКОМБИНАТ""",6604001978,Свердловская область,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
261,"ООО ""ГАЗПРОМНЕФТЬ-САХАЛИН""",6501115388,Г.САНКТ-ПЕТЕРБУРГ,43.13,Разведочное бурение
262,МИНИМУЩЕСТВО ОМСКОЙ ОБЛАСТИ,5503079101,ОМСКАЯ ОБЛАСТЬ,84.11.8,"Управление имуществом, находящимся в государственной собственности"
263,"ООО ""РВК-ОМСКИЙ РАЙОН""",5501280140,Омская область,36.00,"Забор, очистка и распределение воды"
264,"АО ""ГАЗПРОМНЕФТЬ-АЭРО НОВОСИБИРСК""",5448106217,НОВОСИБИРСКАЯ ОБЛАСТЬ,52.23.19,"Деятельность вспомогательная прочая, связанная с воздушным транспортом"
265,"АО ""АЭРОПОРТ ТОЛМАЧЕВО""",5448100208,Новосибирская область,52.23.11,Деятельность аэропортовая
266,"АО ""НИИСИСТЕМ""",5408223443,Новосибирская область,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
267,"АО ""ЛЕБЕДИНСКИЙ ГОК""",3127000014,БЕЛГОРОДСКАЯ ОБЛАСТЬ,07.10.2,Добыча железных руд открытым способом
268,"ООО ""МЕДИА СЕРВИС""",3123287655,БЕЛГОРОДСКАЯ ОБЛАСТЬ,62.01,Разработка компьютерного программного обеспечения
269,"ООО ""МЕТАЛЛСЕРВИС-БЕЛГОРОД""",3123166185,БЕЛГОРОДСКАЯ ОБЛАСТЬ,46.72,Торговля оптовая металлами и металлическими рудами
270,"ООО ""КРЦ ""ЭФКО - КАСКАД""",3122503751,БЕЛГОРОДСКАЯ ОБЛАСТЬ,46.33.3,Торговля оптовая пищевыми маслами и жирами
271,"ОАО ""АСТРАПРЕСС""",3017065442,АСТРАХАНСКАЯ ОБЛАСТЬ,47.62.1,Торговля розничная газетами и журналами в специализированных магазинах
272,"ТОСП ""АЗС №50240"" ООО ""ЛУКОЙЛ-Центрнефтепродукт""",7701285928,Г.МОСКВА,47.30,Торговля розничная моторным топливом в специализированных магазинах
273,АО АСЭ,7701186067,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,71.12.2,"Деятельность заказчика-застройщика, генерального подрядчика"
274,"ЗПИ комбинированный фонд ""Центральный""",7701140866,Г.Москва,66.30,Деятельность по управлению фондами
275,"АО ""КОРПОРАЦИЯ ""МСП""",7750005919,Г.МОСКВА,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
276,"АО ""УК ""БМЗ""",3232035432,БРЯНСКАЯ ОБЛАСТЬ,30.2,Производство железнодорожных локомотивов и подвижного состава
277,"АО ""КУДРЯШОВСКОЕ""",5433142195,НОВОСИБИРСКАЯ ОБЛАСТЬ,1.46,Разведение свиней
278,"ООО ""СТАР МЕДИА ВИЖН""",9704007016,МОСКВА ГОРОД,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ"
279,"ООО ""АЕОН ХОЛДИНГ ДЕВЕЛОПМЕНТ""",7704365995,Г.МОСКВА,70.22,Консультирование по вопросам коммерческой деятельности и управления
280,"АО ""МТТ""",7705017253,Г.Москва,61.10,Деятельность в области связи на базе проводных технологий
281,"АО ""РХК""",7726396281,Г.МОСКВА,70.22,Консультирование по вопросам коммерческой деятельности и управления
282,"АО ""ИНТЕР РАО КАПИТАЛ""",7701296415,Г.МОСКВА,64.99.1,Вложения в ценные бумаги
283,"ПАО ""МОСЭНЕРГО""",7705035012,Г.МОСКВА,35.11.1,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций"
284,"АО ""МФ ТЕХНОЛОГИИ""",7707405050,Г.Москва,70.22,Консультирование по вопросам коммерческой деятельности и управления
285,"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""",8903021599,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.20,Добыча природного газа и газового конденсата
286,"ООО ""ГАЗПРОМНЕФТЬ-ЯМАЛ""",8901001822,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.10.1,Добыча сырой нефти
287,"КСК ""НОРД"" ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""",8622000931,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,49.50.21,Транспортирование по трубопроводам газа
288,"ООО ""ЮКОРТ""",8619007581,Ханты-Мансийский автономный округ - Югра,25.61,Обработка металлов и нанесение покрытий на металлы
289,"ООО ""ГАЗПРОМНЕФТЬ-ХАНТОС""",8618006063,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,06.10.1,Добыча сырой нефти
290,"ООО ""БИЗНЕС-ФИНАНС""",7707572492,Г.Москва,70.10.2,Деятельность по управлению холдинг-компаниями
291,"АО ""ГАЗСТРОЙПРОМ""",7842155505,Г.САНКТ-ПЕТЕРБУРГ,71.12.2,"Деятельность заказчика-застройщика, генерального подрядчика"
292,"ООО ""РН-АЭРО""",7705843041,Г.МОСКВА,46.71.2,"Торговля оптовая моторным топливом, включая авиационный бензин"
293,МИНОБОРОНЫ РОССИИ,7704252261,Г.Москва,84.22,"Деятельность, связанная с обеспечением военной безопасности"
294,"ООО ""МЭК""",7801606237,Г.Санкт-Петербург,35.14,Торговля электроэнергией
295,"ООО ""НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ""",8911020768,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.20,Добыча природного газа и газового конденсата
296,"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""",8904034784,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.20,Добыча природного газа и газового конденсата
297,"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""",8904034777,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.20,Добыча природного газа и газового конденсата
298,"АО ""АРКТИКГАЗ""",8904002359,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.20,Добыча природного газа и газового конденсата
299,"ООО ""МЕРЕТОЯХАНЕФТЕГАЗ""",8903034220,Ямало-Ненецкий автономный округ,06.10.1,Добыча сырой нефти
