,Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Деятельность_2
879,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Омега""",7709853192,Г.МОСКВА,66.12.2,66,Деятельность по управлению ценными бумагами
880,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ПИФ ""Универсальные активы""",7715648191,Г.Москва,64.99.1,64,Вложения в ценные бумаги
881,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ООО УК ""ПЕРВОИНВЕСТ-УПРАВЛЕНИЕ АКТИВАМИ""",6316130695,Самарская область,66.12.2,66,Деятельность по управлению ценными бумагами
882,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ИПИФ рыночных финансовых инструментов ""ОПЛОТ""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
883,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""СТОИК - Биржевые активы""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
884,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""ЭЛИТА""",7722268930,МОСКВА ГОРОД,64.99.1,64,Вложения в ценные бумаги
885,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ рентный ""Земельный""",7705934845,Г.МОСКВА,64.99.1,64,Вложения в ценные бумаги
886,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""РИКо-Фонд""",7709853192,Г.МОСКВА,66.12.2,66,Деятельность по управлению ценными бумагами
887,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Коммерческая недвижимость""",7704366195,Г.Москва,66.3,66,Деятельность по управлению фондами
888,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""АФМ. Орифа""",5612065074,Оренбургская область,66.30,66,Деятельность по управлению фондами
889,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ прямых инвестиций ""Руснедра""",7722793640,МОСКВА ГОРОД,66.30,66,Деятельность по управлению фондами
890,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""СТОИК - Мировые технологии"".",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
891,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ долгосрочных прямых инвестиций """"Форсайт плюс""",7707525541,Г.Москва,64.99.1,64,Вложения в ценные бумаги
892,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ акций ""Альтернативные инвестиции""",7705903220,Г.МОСКВА,64.99.1,64,Вложения в ценные бумаги
893,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""СТОИК - Акции"".",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
894,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Профит первый""",2309084747,КРАСНОДАРСКИЙ КРАЙ,64.99,64,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
895,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Базис - Долгострочные инвестиции""",7709853192,Г.МОСКВА,66.12.2,66,Деятельность по управлению ценными бумагами
896,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ НЕДВИЖИМОСТИ ""АНТЕЙ ЮГ""",7706660033,Г.Москва,66.3,66,Деятельность по управлению фондами
897,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Олимп""",7703523568,Г.Москва,66.3,66,Деятельность по управлению фондами
898,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""РВМ Деловая Недвижимость""",7722563196,Г.Москва,66.30.1,66,Управление инвестиционными фондами
899,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ долгосрочных прямых инвестиций ""Базис""",7709853192,Г.МОСКВА,66.12.2,66,Деятельность по управлению ценными бумагами
900,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""АФМ. Росдевелопмент""",7706761602,Г.МОСКВА,66.30.1,66,Управление инвестиционными фондами
901,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Руснедра""",9715010155,Г.Москва,66.30,66,Деятельность по управлению фондами
902,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""УФА ЭКСПО""",5029144685,Республика Башкортостан,66.30,66,Деятельность по управлению фондами
903,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""ГЕО-АКТИВ""",7806138649,Г.Санкт-Петербург,66.30.1,66,Управление инвестиционными фондами
904,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ рентный ""Стратегические инвестиции""",7705934845,Г.МОСКВА,64.99.1,64,Вложения в ценные бумаги
905,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Базис Риэлти""",7709853192,Г.МОСКВА,66.12.2,66,Деятельность по управлению ценными бумагами
