Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Раздел_1,Деятельность_раздел_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Раздел_2,Деятельность_раздел_2,Деятельность_2
"ООО ""ЭТП ГПБ КОНСАЛТИНГ""",7728356929,МОСКВА ГОРОД,63.11.1,63,J,Деятельность в области информации и связи,Деятельность по созданию и использованию баз данных и информационных ресурсов,Высокая,"ООО ""ПРОФИНДУСТРИЯ-ЦЕНТР""",7709629271,Г.МОСКВА,46.69,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая прочими машинами и оборудованием
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ПАО ""ТРАНСНЕФТЬ""",7706061801,Г.МОСКВА,49.50.1,49,H,Транспортировка и хранение,Транспортирование по трубопроводам нефти и нефтепродуктов
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ПАО ""РОССЕТИ""",4716016979,Г.МОСКВА,35.12,35,D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",Передача электроэнергии и технологическое присоединение к распределительным электросетям
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ПАО ""РУСГИДРО""",2460066195,КРАСНОЯРСКИЙ КРАЙ,35.11.2,35,D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"АО ""РОСНЕФТЕГАЗ""",7705630445,Г.Москва,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""РКЗ-ТАВР""",6165079035,РОСТОВСКАЯ ОБЛАСТЬ,10.13,10,C,Обрабатывающие производства,Производство продукции из мяса убойных животных и мяса птицы
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""ЗОЛОТОВСКОЕ""",6132007148,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""АПИК""",6102063473,РОСТОВСКАЯ ОБЛАСТЬ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""ФОРВАРД +""",6166039518,РОСТОВСКАЯ ОБЛАСТЬ,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""АПК ""21 ВЕК""",6101034399,Ростовская область,01.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание однолетних культур
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""МКЦ-ДЕВЕЛОПМЕНТ""",6163082392,Ростовская область,71.12.2,71,M,"Деятельность профессиональная, научная и техническая","Деятельность заказчика-застройщика, генерального подрядчика"
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО "" КРАСНОАРМЕЙСКАЯ""",6163227746,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""АРТЕМИДА-ДОН""",6143043412,РОСТОВСКАЯ ОБЛАСТЬ,77.39,77,N,Деятельность административная и сопутствующие дополнительные услуги,"Аренда и лизинг прочих видов транспорта, оборудования и материальных средств, не включенных в другие группировки"
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""ТАВР-ИМУЩЕСТВЕННЫЙ КОМПЛЕКС""",6165181945,РОСТОВСКАЯ ОБЛАСТЬ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"АО ""ПЕРЕСЛАВЛЬ-ТАБАК""",6163133897,РОСТОВСКАЯ ОБЛАСТЬ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ПКФ ""АТЛАНТИС-ПАК""",6163026503,РОСТОВСКАЯ ОБЛАСТЬ,22.22,22,C,Обрабатывающие производства,Производство пластмассовых изделий для упаковывания товаров
"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом,Высокая,"ООО ""НАНСЕНА""",6163227880,РОСТОВСКАЯ ОБЛАСТЬ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""ГРУППА АГРОКОМ""",6163070862,Ростовская область,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями,Высокая,"ООО ""РКЗ-ТАВР""",6165079035,РОСТОВСКАЯ ОБЛАСТЬ,10.13,10,C,Обрабатывающие производства,Производство продукции из мяса убойных животных и мяса птицы
"ООО ""ГРУППА АГРОКОМ""",6163070862,Ростовская область,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями,Высокая,"ООО ""ЗОЛОТОВСКОЕ""",6132007148,Ростовская область,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""ГРУППА АГРОКОМ""",6163070862,Ростовская область,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями,Высокая,"ООО ""АПИК""",6102063473,РОСТОВСКАЯ ОБЛАСТЬ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
"ООО ""ГРУППА АГРОКОМ""",6163070862,Ростовская область,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями,Высокая,"ООО ""ФОРВАРД +""",6166039518,РОСТОВСКАЯ ОБЛАСТЬ,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
"ООО ""ГРУППА АГРОКОМ""",6163070862,Ростовская область,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями,Высокая,"ООО ""АПК ""21 ВЕК""",6101034399,Ростовская область,01.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание однолетних культур
"ООО ""ГРУППА АГРОКОМ""",6163070862,Ростовская область,70.10.2,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению холдинг-компаниями,Высокая,"ООО ""МКЦ-ДЕВЕЛОПМЕНТ""",6163082392,Ростовская область,71.12.2,71,M,"Деятельность профессиональная, научная и техническая","Деятельность заказчика-застройщика, генерального подрядчика"
